Artist Name(s);Album Name;Album Release Date;Track duration (s);Explicit;Popularity;Artist Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature;Label;Copyrights;;;
Craig David;Born to Do It;14/08/2000;257,2;0;64;british soul;0,682;0,744;8;-6,981;1;0,0365;0,376;0,00951;0,06;0,827;132,493;4;Sony Music UK;P (P) 2001 Wildstar Records Limited, licensed exclusively to Sony Music Entertainment UK Limited;;;0,2572
The Beatles;Rubber Soul (Remastered);03/12/1965;163,693;0;67;beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock;0,534;0,624;4;-9,589;1;0,0462;0,00797;0;0,128;0,687;121,402;4;EMI Catalogue;C © 2015 Apple Corps Ltd, P ? 2015 Calderstone Productions Limited (a division of Universal Music Group);;;0,163693
The Easybeats;Easy;01/01/1965;163,293;0;60;australian rock,british blues,freakbeat,protopunk,psychedelic rock;0,374;0,991;9;-1,101;1;0,0813;0,38;0,000719;0,0929;0,51;95,105;4;Albert Productions;C © 1965 BMG AM Pty Ltd,, P ? 1965 BMG AM Pty Ltd,;;;0,163293
Status Quo;On The Level;01/02/1975;324,96;0;53;blues rock,british blues,glam rock;0,47;0,899;4;-7,127;1;0,0333;0,113;0,0000689;0,287;0,213;89,506;4;UMC (Universal Music Catalogue);C © 2005 Mercury Records Limited, P This Compilation ? 2005 Mercury Records Limited;;;0,32496
The Veronicas;Lolita;27/07/2012;205,413;0;35;australian pop,candy pop,dance pop,girl group,post-teen pop;0,569;0,779;8;-5,395;1;0,0322;0,00135;0,0000021;0,15;0,287;134,988;4;Warner Records/Sire;C © 2012 Sire Records,, P ? 2012 Sire Records,;;;0,205413
Jennifer Lopez, Pitbull;On The Floor;01/01/2011;230,906;0;76;dance pop,pop,urban contemporary,dance pop,miami hip hop,pop;0,758;0,686;11;-6,346;1;0,0792;0,0848;0,00127;0,142;0,444;130,007;4;Nuyorican Productions / IDJ;C © 2011 The Island Def Jam Music Group, P ? 2011 The Island Def Jam Music Group;;;0,230906
Ratcat;Blind Love;13/06/1991;191,933;0;43;australian alternative rock,australian rock;0,5;0,91;1;-6,659;1;0,053;0,0000371;0,0000113;0,384;0,476;114,423;4;rooArt;P (P) 1991 rooArt;;;0,191933
98º;98 Degrees And Rising;01/01/1998;228,066;0;0;boy band;0,573;0,431;8;-9,431;1;0,0362;0,613;0;0,27;0,28;81,013;4;Universal Music LLC;C (C) 1998 Motown Records, a Division of UMG Recordings, Inc,, P (P) 1998 Motown Records, a Division of UMG Recordings, Inc,;;;0,228066
Madonna;Celebration (double disc version);18/09/2009;225,813;0;52;dance pop,pop;0,738;0,852;7;-6,13;1;0,0766;0,00153;0,0895;0,178;0,834;119,735;4;Warner Records;C © 2009 Warner Records Inc,, P ? 2009 This Compilation P2009 Warner Records Inc,;;;0,225813
The Pussycat Dolls;PCD (Revised International Version);01/01/2005;219,093;0;0;dance pop,girl group,pop;0,77;0,954;10;-3,898;1;0,0436;0,048;0,000053;0,0691;0,743;105,838;4;Universal Music Group;C © 2005 Pussycat Dolls, LLC, P ? 2005 Pussycat Dolls, LLC;;;0,219093
Sisqo;Unleash The Dragon;01/01/1999;253,733;1;74;contemporary r&b,dirty south rap,hip pop,r&b,urban contemporary;0,706;0,888;2;-6,959;1;0,0654;0,119;0,0000964;0,07;0,714;121,549;4;Def Jam Recordings;C © 1999 The Island Def Jam Music Group, P ? 1999 UMG Recordings, Inc,;;;0,253733
The Presets;Apocalypso;01/01/2009;272,52;0;0;alternative dance,australian dance,australian indie;0,696;0,94;2;-3,967;1;0,0595;0,0562;0,00156;0,11;0,348;119,999;4;Modular;C © 2009 Modular Recordings, P ? 2009 Modular Recordings;;;0,27252
Glee Cast;Saving All My Love For You (Glee Cast Version);24/04/2012;231,333;0;0;glee club,post-teen pop;0,57;0,432;5;-7,121;1;0,033;0,79;0,000223;0,105;0,403;198,049;3;Columbia;P (P) 2012 Twentieth Century Fox Film Corporation;;;0,231333
Kelly Clarkson;Meaning of Life;27/10/2017;172,426;0;59;dance pop,pop,talent show;0,808;0,581;11;-5,43;1;0,07;0,0053;0,0000119;0,0828;0,758;130,012;4;Atlantic Records;C © 2017 Kelly Clarkson under exclusive license to Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,, P ? 2017 Kelly Clarkson under exclusive license to Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,;;;0,172426
Marty Rhone;50th Anniversary Album;01/08/2016;169,52;0;33;;0,684;0,643;4;-6,513;1;0,0347;0,47;0,00000163;0,25;0,961;112,144;4;Marty Rhone;C 2016 Marty Rhone, P 2016 Marty Rhone;;;0,16952
Bette Midler;No Frills;17/08/1983;225,866;0;56;adult standards,new wave pop,soft rock;0,577;0,788;4;-6,813;1;0,0309;0,00727;0,0000127;0,0637;0,914;105,428;4;Atlantic Records;C © 1983 Atlantic Record Corporation for the United States and WEA International Inc, for the world outside of the United States, P ? 1983 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,;;;0,225866
Roy Orbison;Sings Lonely and Blue;01/01/1961;145,533;0;67;adult standards,classic rock,folk rock,mellow gold,rock-and-roll,rockabilly,singer-songwriter;0,57;0,529;5;-10,769;1;0,028;0,377;0,00509;0,203;0,934;123,273;4;Legacy Recordings;P Originally released 1960, All rights reserved by Sony Music Entertainment;;;0,145533
Johnny Ruffo;Untouchable;15/07/2013;193,373;0;16;australian pop,australian talent show;0,698;0,861;7;-4,872;1;0,151;0,00361;0;0,0618;0,834;106,502;4;Sony Music Entertainment;P (P) 2013 Sony Music Entertainment Australia Pty Ltd,;;;0,193373
The Hollies;Distant Light (Expanded Edition);01/10/1971;199,2;0;76;album rock,british invasion,classic rock,folk rock,mellow gold,merseybeat,soft rock;0,757;0,868;9;-9,326;1;0,062;0,411;0,00221;0,355;0,815;138,923;4;Rhino;C © 2013 Parlophone Records Ltd, a Warner Music Group Company, P ? 2013 Parlophone Records Ltd, a Warner Music Group Company;;;0,1992
Mark Morrison;Return of the Mack;22/04/1996;213,093;0;79;british soul;0,715;0,833;2;-5,379;1;0,108;0,00631;0;0,164;0,612;95,487;4;WM UK;C © 1996 Warner Music UK Ltd, P ? 1996 Warner Music UK Ltd;;;0,213093
Johnny Logan;4 Hits;16/09/2011;183,96;0;45;dansktop;0,433;0,28;5;-12,781;1;0,0378;0,678;0;0,094;0,263;149,519;4;Sony Music UK;P This Compilation (P) 2011 Sony Music Entertainment UK Limited;;;0,18396
Gabrielle Aplin;English Rain;13/05/2013;181,4;0;58;acoustic pop,neo-singer-songwriter,uk pop,viral pop;0,479;0,541;0;-9,862;1;0,0545;0,737;0;0,108;0,321;85,994;4;WM UK;C © 2013 EMI Records Limited under exclusive licence to Warner Music UK Limited, P ? 2013 EMI Records Limited under exclusive licence to Warner Music UK Limited;;;0,1814
Dómisol Sisters;Basin Street Blues;25/04/2021;251,266;0;0;;0,53;0,17;5;-12,675;1;0,0448;0,903;0,0000556;0,0944;0,506;79,734;4;Strommar LLC;C 2021 Dómisol Sisters, P 2021 Dómisol Sisters;;;0,251266
Natalie Imbruglia;Left Of The Middle;10/11/1997;244,666;0;79;dance pop,europop,lilith,new wave pop,pop rock;0,575;0,886;5;-5,182;1;0,034;0,0647;0,000187;0,709;0,609;96,31;4;RCA Records Label;P (P) 1997 BMG Entertainment International UK & Ireland Ltd;;;0,244666
The Dave Clark Five;Glad All Over (2019 - Remaster);06/07/1964;163,327;0;49;british invasion,merseybeat;0,462;0,803;2;-8,357;1;0,0585;0,152;0;0,0788;0,896;137,789;4;BMG Rights Management (UK) Limited;C © 2019 Dave Clark (London) Limited under exclusive license to BMG Rights Management (UK) Limited, P ? 2019 Dave Clark (London) Limited under exclusive license to BMG Rights Management (UK) Limited;;;0,163327
Bee Gees;Greatest;01/01/1979;197,213;0;0;disco,mellow gold,soft rock;0,632;0,683;7;-6,434;1;0,0383;0,163;0,00013;0,847;0,701;105,955;4;Universal Music Group;C © 2007 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group, P ? 2007 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group;;;0,197213
Tim Deluxe, Sam Obernik;It Just Won't Do;28/11/2011;198;0;62;disco house,vocal house,uk dance;0,678;0,936;5;-4,876;0;0,0373;0,00166;0,457;0,376;0,877;129,996;4;Get Human;C Deluxe Records Ltd, P Deluxe Records Ltd;;;0,198
New Order;Brotherhood (Collector's Edition);29/09/1986;263,213;0;69;dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk;0,613;0,885;10;-7,463;1;0,052;0,0804;0,746;0,0997;0,919;118,506;4;Rhino/Warner Records;C © 2008 London Records 90 Ltd,, P ? 2008 London Records 90 Ltd, Marketed by Rhino Entertainment Company, a Warner Music Group Company;;;0,263213
The Angels;Liveline;01/01/1988;249,733;0;0;australian rock;0,209;0,945;9;-6,306;1;0,0589;0,00141;0,0000228;0,9;0,386;184,197;4;Bloodlines;C 1998 Bloodlines, P 1998 Bloodlines;;;0,249733
Bad Bunny, Jhayco;EL ÚLTIMO TOUR DEL MUNDO;27/11/2020;205,09;1;82;reggaeton,trap latino,urbano latino,reggaeton,trap latino,urbano latino;0,731;0,573;4;-10,059;0;0,0544;0,401;0,0000522;0,113;0,145;109,928;4;Rimas Entertainment LLC;C (C) 2020 Rimas Entertainment LLC, P (P) 2020 Rimas Entertainment LLC;;;0,20509
Paul Evans;Hear Paul Evans in Your Home Tonight;20/01/2006;114,139;0;0;novelty;0,726;0,255;9;-17,036;1;0,0644;0,972;0,00133;0,309;0,785;95,461;4;TP4 Music;C 2017 TP4 Music, P 2017 TP4 Music;;;0,114139
3 The Hard Way;Old Skool Prankstas;27/07/2012;219,16;0;0;nz hip hop;0,851;0,686;7;-12,014;1;0,237;0,0642;0,000187;0,225;0,431;102,002;4;Propeller Lamont Ltd;C 2012 Alsi Music Ltd, P 2012 Alsi Music Ltd;;;0,21916
Barbra Streisand, Bryan Adams;The Mirror Has Two Faces - Music From The Motion Picture;15/10/1996;221,973;0;67;adult standards,operatic pop,canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock;0,568;0,224;6;-15,069;1;0,0296;0,677;0;0,127;0,0709;138,964;4;Columbia;P 1996 Sony Music Entertainment Inc,;;;0,221973
Akon, Eminem;Konvicted;01/01/2006;212,36;1;4;dance pop,detroit hip hop,hip hop,rap;0,94;0,743;5;-5,166;0;0,0475;0,317;0;0,0909;0,932;118,988;4;Konvict/Upfront/SRC/Universal Records;C © 2007 Universal Records, a Division of UMG Recordings, Inc,, P ? 2007 Universal Records, a Division of UMG Recordings, Inc,;;;0,21236
David Guetta, Sam Martin;Listen;21/11/2014;203,52;0;73;big room,dance pop,edm,pop,pop dance;0,645;0,891;6;-2,505;0;0,0387;0,0932;0,00000388;0,379;0,568;124,915;4;Parlophone (France);C © 2014 What A Music Ltd, under exclusive licence to Parlophone/Warner Music France, A Warner Music Group Company, P ? 2014 What A Music Ltd, under exclusive licence to Parlophone/Warner Music France, A Warner Music Group Company;;;0,20352
The Rembrandts;Greatest Hits;20/06/2006;189,573;0;54;pop rock;0,164;0,919;9;-5,834;1;0,149;0,0707;0,00000225;0,158;0,662;190,182;4;Rhino Atlantic;C © 2006 Rhino Entertainment Company, a Warner Music Group company, P ? 2006 Rhino Entertainment Company, a Warner Music Group company;;;0,189573
Anne Murray;Let's Keep It That Way;01/01/1978;220,266;0;66;adult standards,canadian country,canadian pop,classic country pop,mellow gold,soft rock;0,497;0,296;9;-10,756;1;0,0302;0,431;0;0,106;0,171;62,204;4;EMI Music Canada;C © 1999 EMI Music Canada, P This Compilation ? 1999 EMI Music Canada;;;0,220266
Alien Ant Farm;Anthology;01/01/2001;209,266;0;0;alternative metal,funk metal,nu metal,post-grunge;0,653;0,966;9;-4,236;0;0,0598;0,00287;0,0026;0,143;0,874;126,921;4;Geffen*;C © 2001 SKG Music L,L,C,, P ? 2001 SKG Music L,L,C,;;;0,209266
The xx;I See You;13/01/2017;224,133;0;0;downtempo,dream pop,indietronica;0,723;0,669;0;-6,784;1;0,0348;0,0522;0,192;0,109;0,35;125,051;4;Young Turks Recordings;C 2017 Young Turks Recordings, P 2017 Young Turks Recordings;;;0,224133
Patrick Swayze, Wendy Fraser;Dirty Dancing;10/07/1987;232,24;0;0;yacht rock;0,596;0,349;4;-14,097;0;0,0295;0,273;0,0000238;0,167;0,228;124,932;4;RCA Records Label;P (P) 1987 Vestron Pictures, Inc,;;;0,23224
Twenty One Pilots;Blurryface;15/05/2015;202,333;0;89;modern rock,pop,pov: indie,rock;0,734;0,637;4;-5,677;0;0,141;0,0462;0,0000229;0,0602;0,648;169,977;4;Fueled By Ramen;C © 2015 Fueled By Ramen LLC for the United States and WEA International Inc, for the world outside of the United States, A Warner Music Group Company, P ? 2015 Fueled By Ramen LLC for the United States and WEA International Inc, for the world outside of the United States, A Warner Music Group Company;;;0,202333
Kanye West, Paul McCartney;Only One;08/01/2015;280,226;0;0;chicago rap,hip hop,rap,beatlesque,classic rock,mellow gold,rock;0,718;0,25;0;-5,972;1;0,0429;0,939;0;0,111;0,132;102,335;4;Universal Music Group;C © 2014 Good Music, Distributed By Def Jam, A Division of UMG Recordings, In, P ? 2014 Good Music, Distributed By Def Jam, A Division of UMG Recordings, In;;;0,280226
The Move;Move (2007 remaster);01/03/1968;155,2;0;16;beatlesque,british blues,freakbeat,protopunk;0,539;0,926;9;-6,94;1;0,179;0,0796;0,00011;0,304;0,491;122,884;4;Fly Records;C (C) 2018 Bucks Records Limited, P (P) 2018 Bucks Records Limited;;;0,1552
HAIM;Days Are Gone (Deluxe Edition);01/01/2013;230,453;0;53;indietronica,metropopolis;0,671;0,852;2;-5,557;0;0,0425;0,0184;0,0000991;0,0841;0,737;125,043;4;Polydor Records;C © 2013 HAIM Productions Inc,, under exclusive licence to Polydor Records, a division of Universal Music Operations Ltd, P ? 2013 HAIM Productions Inc,, under exclusive licence to Polydor Records, a division of Universal Music Operations Ltd;;;0,230453
Empire of the Sun;Walking On A Dream (10th Anniversary Edition);03/10/2008;267,373;0;74;australian dance,australian electropop,dance rock,indietronica,neo-synthpop;0,675;0,781;4;-5,404;0;0,0306;0,0801;0,0143;0,422;0,534;122,989;4;EMI Recorded Music Australia Pty Ltd;C © 2008 The Sleepy Jackson Pty Ltd and Nick Littlemore, under exclusive license to Universal Music Australia Pty Ltd, P ? 2019 The Sleepy Jackson Pty Ltd and Nick Littlemore, under exclusive license to Universal Music Australia Pty Ltd;;;0,267373
Tom Walker;What a Time To Be Alive;01/03/2019;174,982;0;69;indie anthem-folk,uk pop;0,567;0,696;9;-5,416;1;0,301;0,456;0;0,113;0,544;92,061;4;Relentless Records;P (P) 2019 Relentless Records under exclusive licence to Sony Music Entertainment UK Limited;;;0,174982
John Farnham;Chain Reaction;24/09/1990;259,026;0;53;australian pop,australian rock;0,602;0,706;4;-10,358;1;0,0358;0,164;0,00001;0,421;0,654;120,045;4;BMG Music;P (P) 1990 BMG Arista/Ariola Limited;;;0,259026
Iggy Azalea, Jennifer Hudson;Reclassified;01/10/2014;166,317;1;57;australian hip hop,dance pop,pop,dance pop,r&b,urban contemporary;0,96;0,699;7;-3,804;1;0,132;0,0948;0;0,0812;0,673;106,009;4;EMI;C © 2014 Virgin EMI Records, a division of Universal Music Operations Limited, P ? 2014 Virgin EMI Records, a division of Universal Music Operations Limited;;;0,166317
Coldplay;Higher Power;07/05/2021;211,294;0;75;permanent wave,pop;0,507;0,828;10;-6,023;1;0,0449;0,00711;0,0000244;0,261;0,489;178,032;4;Parlophone UK;C Under exclusive licence to Parlophone Records Limited,, © 2021 Coldplay, P Under exclusive licence to Parlophone Records Limited, ? 2021 Coldplay;;;0,211294
Parachute;Losing Sleep;01/01/2009;146,066;0;0;acoustic pop,charlottesville indie,neo mellow,neon pop punk,pop rock,viral pop;0,629;0,174;6;-9,697;1;0,141;0,616;0;0,118;0,305;134,297;1;Universal Music Group;C © 2009 The Island Def Jam Music Group, P ? 2009 The Island Def Jam Music Group;;;0,146066
Lobo;The Best Of Lobo;11/06/1993;217,906;0;37;soft rock;0,513;0,347;1;-13,506;1;0,029;0,273;0,0417;0,0805;0,52;78,811;4;Rhino Atlantic;C © 2005 Atlantic Recording Corp, Manufactured & Marketed by Warner Strategic Marketing,, P ? 1996 Atlantic Recording Corp, Manufactured & Marketed by Rhino Entertainment;;;0,217906
The Rolling Stones;Singles 1965-1967;12/07/2004;224,133;0;58;album rock,british invasion,classic rock,rock;0,496;0,859;5;-7,927;0;0,0934;0,0135;0,065;0,349;0,768;159,694;4;ABKCO Music and Records, Inc,;C © 2004 ABKCO Music & Records Inc,, P This Compilation ? 2004 ABKCO Music & Records Inc,;;;0,224133
Iggy Pop;Blah-Blah-Blah;27/10/1986;218,306;0;65;alternative rock,glam rock,permanent wave,protopunk,rock;0,59;0,851;4;-11,754;1;0,0297;0,0174;0,0975;0,154;0,968;146,213;4;A&M;C © 1986 A&M Records Inc,, P ? 1986 UMG Recordings, Inc,;;;0,218306
JoJo;The High Road;17/10/2006;221,72;0;74;dance pop,pop,post-teen pop;0,421;0,799;6;-5,183;0;0,0562;0,00871;0,0000163;0,0794;0,731;82,408;4;Blackground Records, LLC;C 2006 Blackground Records, LLC, P 2006 Blackground Records, LLC;;;0,22172
Katy Perry, Juicy J;PRISM (Deluxe);18/10/2013;215,672;0;80;pop,crunk,memphis hip hop,pop rap,rap,southern hip hop,trap;0,645;0,585;6;-6,122;1;0,0513;0,00314;0;0,165;0,353;131,931;4;Capitol Records (CAP);C © 2013 Capitol Records, LLC, P ? 2013 Capitol Records, LLC;;;0,215672
Guy Sebastian;Set In Stone;28/10/2016;220,958;0;37;australian pop,australian talent show;0,487;0,295;4;-8,302;1;0,0308;0,567;0,0000127;0,102;0,0709;78,122;4;Sony Music Entertainment;P (P) 2016 Sony Music Entertainment Australia Pty Ltd;;;0,220958
U2;The Joshua Tree;10/03/1987;295,52;0;53;irish rock,permanent wave,rock;0,538;0,432;2;-11,882;1;0,0295;0,000185;0,309;0,139;0,116;110,181;4;Universal-Island Records Ltd,;C © 2007 Universal-Island Records Ltd,, P ? 2007 Universal-Island Records Ltd,;;;0,29552
Etta James;At Last!;01/01/1960;179,693;0;79;jazz blues,soul,soul blues,torch song,vocal jazz;0,274;0,348;5;-8,631;1;0,0293;0,547;0,0133;0,334;0,328;87,43;3;Geffen*;C © 1999 UMG Recordings, Inc,, P ? 1960 UMG Recordings, Inc,;;;0,179693
Newton Faulkner;Rebuilt By Humans;28/09/2009;199,08;0;17;folk-pop;0,55;0,727;5;-5,997;1;0,0325;0,0567;0;0,114;0,441;88,043;4;RCA Records Label;P (P) 2009 Peer-Southern Productions Limited under exclusive license to Blue Sky Music Limited;;;0,19908
Men At Work;The Best Of Men At Work: Contraband;01/02/1996;220,866;0;74;album rock,australian rock,classic rock,hard rock,heartland rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock;0,746;0,79;11;-4,7;0;0,0257;0,0485;0,0261;0,0534;0,891;107,231;4;Columbia;P (P) 1996 Sony Music Entertainment Inc,;;;0,220866
Bob Dylan;The Times They Are A-Changin';13/01/1964;192,053;0;70;classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter;0,389;0,396;7;-7,999;1;0,0332;0,887;0;0,0828;0,585;171,86;3;Columbia;P Originally released 1964, All rights reserved by Columbia Records, a division of Sony Music Entertainment;;;0,192053
CHIC;The Chic Organization 1977-1979 (2018 Remaster);23/11/2018;331,36;0;60;disco,funk,soul;0,91;0,641;7;-11,316;1;0,0589;0,0258;0,0000642;0,0642;0,903;118,533;4;Rhino Atlantic;C © 2018 Atlantic Recording Corporation, All Rights Reserved, Marketed by Rhino Entertainment Company, a Warner Music Group Company, P ? 2018, 1979, 1978, 1977 Atlantic Recording Corporation, All Rights Reserved, Marketed by Rhino Entertainment Company, a Warner Music Group Company;;;0,33136
Bee Gees;Main Course;01/06/1975;222,266;0;64;disco,mellow gold,soft rock;0,811;0,545;7;-12,969;0;0,0579;0,155;0,0853;0,156;0,734;105,911;4;Bee Gees Catalog;C © 1975 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group, P ? 1975 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb, under exclusive license to Capitol Music Group;;;0,222266
Bertie Higgins;The Ultimate Collection;01/01/2010;198,946;0;37;;0,503;0,659;0;-6,829;1;0,0356;0,443;0;0,153;0,33;101,668;4;Toucan Cove Entertainment;C Toucan Cove Entertainment, P Toucan Cove Entertainment;;;0,198946
Miley Cyrus;Breakout;01/01/2008;213,453;0;54;pop;0,591;0,904;1;-4,478;0;0,0359;0,0244;0;0,0786;0,542;107,027;4;Universal Music Group International;C © 2008 Hollywood Records, under exclusive license to Universal Music International BV, P ? 2008 Hollywood Records, under exclusive license to Universal Music International BV;;;0,213453
Céline Dion;Falling Into You;28/02/1996;273,666;0;0;canadian pop;0,614;0,466;1;-9,881;1;0,0327;0,314;0;0,099;0,178;119,916;4;Columbia;P (P) 1996 Sony Music Entertainment (Canada) Inc,;;;0,273666
The Offspring;Greatest Hits;21/06/2005;257,76;0;0;alternative metal,permanent wave,post-grunge,punk,rock,skate punk,socal pop punk;0,439;0,909;0;-3,607;1;0,0684;0,0266;0;0,367;0,597;104,709;4;Universal Music Group;C © 2005 Round Hill Records, Manufactured and distributed by Universal Music Enterprises, a division of UMG Recordings, Inc,, P ? 2005 Round Hill Records, Manufactured and distributed by Universal Music Enterprises, a division of UMG Recordings, Inc,;;;0,25776
Luke Christopher;TMRW;11/09/2015;248,337;1;62;indie pop rap;0,405;0,846;6;-3,57;1;0,195;0,0948;0;0,0666;0,602;82,232;4;ByStorm Entertainment/RCA Records;P (P) 2015 ByStorm Entertainment and RCA Records, a division of Sony Music Entertainment;;;0,248337
Matchbox Twenty;Yourself or Someone Like You;01/10/1996;225,946;0;76;neo mellow,pop rock,post-grunge;0,521;0,673;8;-8,685;1;0,0284;0,00573;0;0,12;0,543;108,031;4;Lava/Atlantic;C © 1996 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,, P ? 1996 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,;;;0,225946
Taxiride;Garage Mahal;10/07/2002;210,173;0;21;australian pop,australian rock;0,443;0,875;1;-5,956;1;0,0386;0,00725;0;0,0644;0,655;97,503;4;WM Australia;C © 2002 Warner Music Australia Pty Limited, P ? 2002 Warner Music Australia Pty Limited;;;0,210173
Operator Please;Gloves;01/01/2010;208,6;0;16;;0,769;0,887;7;-4,361;1;0,0532;0,00537;0,0000448;0,0668;0,885;117,484;4;Virgin Records;C © 2010 Operator Please, P ? 2010 Operator Please;;;0,2086
Katy Perry;Hot N Cold;09/09/2008;223,226;0;56;pop;0,702;0,839;7;-3,992;1;0,0439;0,000081;0;0,072;0,856;132,007;4;Capitol Records;C © 2008 Capitol Records, LLC, P ? 2008 Capitol Records, LLC;;;0,223226
Olivia Rodrigo;good 4 u;14/05/2021;178,147;1;25;pop;0,556;0,661;6;-5,052;0;0,204;0,3;0;0,101;0,668;168,56;4;Olivia Rodrigo PS;C © 2021 Olivia Rodrigo, under exclusive license to Geffen Records, P ? 2021 Olivia Rodrigo, under exclusive license to Geffen Records;;;0,178147
CoCo Lee;Just No Other Way;04/11/1999;275,36;0;46;mandopop,taiwan pop;0,699;0,949;4;-3,278;0;0,128;0,0696;0;0,278;0,722;104,003;4;Epic;P 1999 Sony Music Entertainment (Holland) B,V,;;;0,27536
Crush;Crush;01/09/1997;262,6;0;37;;0,681;0,968;2;-6,64;1;0,0393;0,0185;0,478;0,0477;0,965;136,986;4;Telstar Records;C 1997 Phoenix Music International Ltd, P 1997 Telstar Records;;;0,2626
Lifehouse;Lifehouse;01/01/2005;195,493;0;0;neo mellow,pop rock,post-grunge;0,461;0,446;7;-7,703;1;0,0267;0,1;0;0,169;0,375;139,868;3;Interscope;C © 2005 Geffen Records, P ? 2005 Geffen Records;;;0,195493
Galantis, MAX;Satisfied (feat, MAX) / Mama Look at Me Now;13/07/2018;155,939;0;54;dance pop,edm,pop,pop dance,singer-songwriter pop,viral pop;0,75;0,651;1;-4,655;1;0,121;0,00759;0;0,521;0,928;120,055;4;Big Beat Records;C © 2018 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States, A Warner Music Group Company, P ? 2018 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States, A Warner Music Group Company;;;0,155939
Guns N' Roses;Use Your Illusion I;17/09/1991;183,973;0;0;glam metal,hard rock,rock;0,262;0,793;11;-8,668;1;0,0646;0,00968;0,08;0,115;0,247;152,447;4;Universal Music Group;C © 1991 Geffen Records Inc,, P ? 1991 Geffen Records Inc,;;;0,183973
The Beach Boys;20/20 (Remastered);10/02/1969;143,066;0;45;baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop;0,597;0,555;8;-7,739;1;0,0285;0,486;0,00174;0,255;0,608;129,098;4;Capitol Records;C © 1969 Capitol Records, LLC, P ? 2012 Capitol Records, LLC;;;0,143066
Adam & The Ants;Prince Charming;01/01/1981;195,24;0;0;new romantic,new wave,new wave pop;0,549;0,67;9;-11,108;1;0,0523;0,201;0;0,11;0,653;150,57;4;Epic;P 1981 CBS RECORDS;;;0,19524
Black Box;Dreamland;09/04/1990;312,986;0;54;diva house,eurodance,hip house,italo house;0,713;0,664;7;-9,095;0;0,046;0,00692;0,00184;0,163;0,49;98,102;4;Groove Groove Melody;C (C) 1990 Groove Groove Melody ltd,, P (P) 1990 Groove Groove Melody ltd,;;;0,312986
Matchbox Twenty;Exile on Mainstream (International);29/09/2007;237,266;0;63;neo mellow,pop rock,post-grunge;0,442;0,793;9;-5,152;1;0,0347;0,0456;0;0,328;0,437;80,985;4;Atlantic Records;C © 2007 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,, P ? 2007 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States;;;0,237266
Miike Snow;iii;04/03/2016;212,146;0;64;alternative dance,electropop,indietronica,neo-synthpop,swedish electropop,swedish indie pop,swedish synthpop;0,688;0,847;10;-3,238;0;0,0508;0,04;0,00000281;0,598;0,453;93,979;4;Downtown/Atlantic;C © 2016 Jackalope Recordings Limited under exclusive license to Atlantic Recordings Corporation for the United States and WEA International Inc, for the world excluding the United States, P ? 2016 Jackalope Recordings Limited under exclusive license to Atlantic Recordings Corporation for the United States and WEA International Inc, for the world excluding the United States;;;0,212146
Gnarls Barkley;The Odd Couple;07/04/2008;174,04;0;50;atl hip hop,neo soul;0,443;0,897;1;-4,75;1;0,0545;0,00211;0;0,34;0,49;149,946;4;WM UK;C © 2008 Gnarls Barkley under exclusive license to Warner Music UK Ltd,, P ? 2008 Gnarls Barkley under exclusive license to Warner Music UK Ltd,;;;0,17404
Green Day;Twilight 'Forever' Love Songs From the Twilight Saga;07/02/2014;298,333;0;0;modern rock,permanent wave,punk,rock;0,507;0,429;9;-6,576;1;0,0268;0,145;0;0,141;0,0788;131,899;4;Rhino;C 2014 Rhino UK, a division of Warner Music UK Ltd, Licensed from Motion Picture Artwork TM & (c) 2014 Summit Entertainment, LLC,, P 2014 Rhino UK, a division of Warner Music UK Ltd,;;;0,298333
Lorde;Pure Heroine (Extended);01/01/2013;201,433;0;0;art pop,metropopolis,nz pop,pop;0,793;0,489;5;-7,275;1;0,0561;0,206;0,0101;0,135;0,629;92,027;4;Universal Music Group;C © 2013 Universal Music NZ Ltd,, P ? 2013 Universal Music NZ Ltd,;;;0,201433
